ethnicity,income,age,sex,education,marriage,children,k
30,20,50,1,30,0,30,297
30,20,50,1,30,1,30,560
30,20,50,1,30,2,30,1283
30,20,50,1,30,3,30,262
30,20,50,1,31,0,30,393
30,20,50,1,31,1,30,975
30,20,50,1,31,2,30,2669
30,20,50,1,31,3,30,428
30,20,50,2,30,0,30,333
30,20,50,2,30,1,30,832
30,20,50,2,30,2,30,1444
30,20,50,2,30,3,30,201
30,20,50,2,31,0,30,570
30,20,50,2,31,1,30,2151
30,20,50,2,31,2,30,2184
30,20,50,2,31,3,30,545
30,20,100,1,30,0,30,516
30,20,100,1,30,1,30,3222
30,20,100,1,30,2,30,1122
30,20,100,1,30,3,30,777
30,20,100,1,31,0,30,465
30,20,100,1,31,1,30,1876
30,20,100,1,31,2,30,7493
30,20,100,1,31,3,30,840
30,20,100,2,30,0,30,492
30,20,100,2,30,1,30,523
30,20,100,2,30,2,30,1733
30,20,100,2,30,3,30,471
30,20,100,2,31,0,30,935
30,20,100,2,31,1,30,1837
30,20,100,2,31,2,30,3203
30,20,100,2,31,3,30,1440
30,21,50,1,30,0,30,244
30,21,50,1,30,1,30,263
30,21,50,1,30,2,30,737
30,21,50,1,30,3,30,170
30,21,50,1,31,0,30,343
30,21,50,1,31,1,30,643
30,21,50,1,31,2,30,731
30,21,50,1,31,3,30,259
30,21,50,2,30,0,30,156
30,21,50,2,30,1,30,775
30,21,50,2,30,2,30,1205
30,21,50,2,30,3,30,232
30,21,50,2,31,0,30,224
30,21,50,2,31,1,30,757
30,21,50,2,31,2,30,1019
30,21,50,2,31,3,30,242
30,21,100,1,30,0,30,203
30,21,100,1,30,1,30,1442
30,21,100,1,30,2,30,963
30,21,100,1,30,3,30,248
30,21,100,1,31,0,30,378
30,21,100,1,31,1,30,1567
30,21,100,1,31,2,30,2649
30,21,100,1,31,3,30,344
30,21,100,2,30,0,30,312
30,21,100,2,30,1,30,1584
30,21,100,2,30,2,30,952
30,21,100,2,30,3,30,319
30,21,100,2,31,0,30,345
30,21,100,2,31,1,30,776
30,21,100,2,31,2,30,1672
30,21,100,2,31,3,30,367
