state,zipcode,ethnicity,income,age,sex,education,marriage,children,party
IA,52101,30,30,100,1,31,2,30,0
IA,50628,30,30,100,1,30,1,30,2
IA,50461,30,30,100,1,31,2,30,2
IA,50461,30,30,100,1,31,2,30,1
IA,50472,30,30,100,1,31,2,30,1
IA,50456,30,30,100,1,31,2,30,2
IA,50466,30,30,100,2,31,2,30,0
IA,50456,30,30,100,1,31,1,30,0
IA,50461,30,30,100,2,31,2,30,0
IA,50459,30,30,100,1,30,2,30,0
IA,50448,30,30,50,1,31,2,30,0
IA,50434,30,30,100,1,31,2,30,2
IA,50446,30,30,100,1,31,2,30,2
IA,50459,30,30,100,1,31,2,30,0
IA,50472,30,30,100,2,31,2,30,0
IA,52155,30,30,100,1,30,1,30,2
IA,50459,30,30,100,2,30,0,30,1
IA,52165,30,30,100,2,31,1,30,1
IA,52101,30,30,100,1,31,2,30,0
IA,50459,30,30,100,1,31,2,30,0
IA,50459,30,30,100,1,31,2,30,0
IA,50456,30,30,100,2,30,2,30,0
IA,50448,30,30,100,1,31,2,30,0
IA,50459,30,30,100,1,31,2,30,2
IA,50456,30,30,100,1,31,1,30,2
IA,50459,30,30,100,1,31,2,30,0
IA,50628,30,30,100,1,31,2,30,1
IA,50456,30,30,100,1,30,1,30,1
IA,50456,30,30,100,2,30,2,30,0
IA,50456,30,30,100,1,31,2,30,2
IA,50448,30,30,100,1,31,2,30,2
IA,50459,30,30,100,2,30,1,30,1
IA,50459,30,30,100,2,31,2,30,2
IA,50459,30,30,100,1,31,1,30,0
IA,50446,30,30,100,1,30,1,30,0
IA,50460,30,30,100,1,31,2,30,2
IA,50466,30,30,100,1,31,2,30,0
IA,52101,30,30,100,2,31,2,30,1
IA,50628,30,30,100,1,31,2,30,2
IA,52165,30,30,100,1,30,0,30,1
IA,52136,30,30,100,1,31,3,30,0
IA,52155,30,30,100,1,31,2,30,0
IA,50466,30,30,100,1,31,2,30,2
IA,50461,30,30,100,1,30,2,30,2
IA,50459,30,30,100,1,31,2,30,2
IA,50456,30,30,100,1,31,2,30,0
IA,50456,30,30,100,2,31,2,30,1
IA,52136,30,30,100,1,31,2,30,0
IA,50461,30,30,50,1,30,1,30,2
IA,50461,30,30,100,1,30,3,30,0
IA,50459,30,30,100,1,30,2,30,2
IA,52155,30,30,100,1,31,3,30,0
IA,50476,30,30,100,1,30,1,30,0
IA,50472,30,30,100,1,31,3,30,0
IA,50459,30,30,100,1,31,2,30,2
IA,50456,30,30,100,1,30,1,30,0
IA,52136,30,30,100,2,31,3,30,2
IA,50459,30,30,50,1,30,3,30,0
IA,50440,30,30,100,1,31,2,30,0
IA,50628,30,30,50,2,31,1,30,2
IA,52101,30,30,50,2,31,0,30,2
