ethnicity,income,age,sex,education,marriage,children,k
30,20,50,1,30,0,20,11
30,20,50,1,30,0,21,91
30,20,50,1,30,0,22,19
30,20,50,1,30,1,20,65
30,20,50,1,30,1,21,398
30,20,50,1,30,1,22,102
30,20,50,1,30,2,20,18
30,20,50,1,30,2,21,88
30,20,50,1,30,2,22,18
30,20,50,1,30,3,20,35
30,20,50,1,30,3,21,274
30,20,50,1,30,3,22,80
30,20,50,1,31,0,20,14
30,20,50,1,31,0,21,152
30,20,50,1,31,0,22,35
30,20,50,1,31,1,20,104
30,20,50,1,31,1,21,692
30,20,50,1,31,1,22,217
30,20,50,1,31,2,20,16
30,20,50,1,31,2,21,142
30,20,50,1,31,2,22,32
30,20,50,1,31,3,20,42
30,20,50,1,31,3,21,398
30,20,50,1,31,3,22,95
30,20,50,2,30,0,20,18
30,20,50,2,30,0,21,77
30,20,50,2,30,0,22,22
30,20,50,2,30,1,20,72
30,20,50,2,30,1,21,489
30,20,50,2,30,1,22,137
30,20,50,2,30,2,20,15
30,20,50,2,30,2,21,83
30,20,50,2,30,2,22,35
30,20,50,2,30,3,20,39
30,20,50,2,30,3,21,260
30,20,50,2,30,3,22,78
30,20,50,2,31,0,20,13
30,20,50,2,31,0,21,151
30,20,50,2,31,0,22,44
30,20,50,2,31,1,20,92
30,20,50,2,31,1,21,680
30,20,50,2,31,1,22,178
30,20,50,2,31,2,20,27
30,20,50,2,31,2,21,148
30,20,50,2,31,2,22,36
30,20,50,2,31,3,20,47
30,20,50,2,31,3,21,435
30,20,50,2,31,3,22,129
30,20,100,1,30,0,20,726
30,20,100,1,30,0,21,5147
30,20,100,1,30,0,22,1460
30,20,100,1,30,1,20,3771
30,20,100,1,30,1,21,25744
30,20,100,1,30,1,22,7332
30,20,100,1,30,2,20,750
30,20,100,1,30,2,21,5139
30,20,100,1,30,2,22,1533
30,20,100,1,30,3,20,2214
30,20,100,1,30,3,21,15596
30,20,100,1,30,3,22,4463
30,20,100,1,31,0,20,1127
30,20,100,1,31,0,21,7829
30,20,100,1,31,0,22,2193
30,20,100,1,31,1,20,5508
30,20,100,1,31,1,21,39079
30,20,100,1,31,1,22,11136
30,20,100,1,31,2,20,1144
30,20,100,1,31,2,21,7740
30,20,100,1,31,2,22,2221
30,20,100,1,31,3,20,3266
30,20,100,1,31,3,21,23220
30,20,100,1,31,3,22,6789
30,20,100,2,30,0,20,792
30,20,100,2,30,0,21,5780
30,20,100,2,30,0,22,1595
